URL,Post,Comment,Classification
https://www.facebook.com/profeMikhailKrasnov,#EnImágenes | Revive los mejores momentos del desfile Militar y Policial del #20deJulio en nuestra ciudad.#ColombiaPatriaMía,Josefito Sierra: Felicitacionez a este gran alcalde ya se ven los cambios en la capital universitaria Tunja Boy.,positivo
https://www.facebook.com/profeMikhailKrasnov,"Desde mi amada Tunja, me siento orgulloso de conmemorar el Grito de Independencia de este país que me adoptó hace más de 15 años.Hoy es el día perfecto para honrar a todos los hombres y mujeres que diariamente entregan su vida a la seguridad de nuestro país.Hoy me siento más colombiano que nunca. ¡Feliz Día de la Independencia!",Fanny Esperanza Moreno Moreno: De ayacucho,positivo
https://www.facebook.com/profeMikhailKrasnov,"¡Vivamos nuestro orgullo patrio este 20 de julio! Este sábado el gran desfile Militar y Policial recorrerá las calles desde el Bosque de la República, Plaza de Bolívar y finaliza en la Plazoleta de las Nieves. Nuestro alcalde los invita a que acompañemos a nuestros héroes de la patria.#ModoPatrio … Ver más",Alfonso  Balanta Rentería: Fanny Esperanza Moreno Moreno el ejercito de Colombia hace honor a esta batalla en nombre de los colombianos que hicieron capitular a los españoles en peru y lograron su independencia,positivo
https://www.facebook.com/profeMikhailKrasnov,"TUNJA MÁS SEGURA¿Sumercé sabe lo que hemos estado haciendo por la seguridad desde la alcaldía?Venga le cuento cómo hemos trabajado para mejorar la seguridad de nuestros ciudadanos, implementando proyectos y políticas que han beneficiado a nuestra ciudad.… Ver más","Jorgito España: Excelente , es una problemática que ha pasado muchas administraciones sin tener ninguna solución ,  que se haga con toda la transparencia posible y con los mejores contratistas que den la garantía de dicha obra , felicitaciones profe mikhael por su gran gestión ...",positivo
https://www.facebook.com/profeMikhailKrasnov,"¡Vamos a cerrar el parque acuático de Tunja!Desde que llegamos, hemos visto una problemática de inundación que ha afectado a mi ciudad y que ha venido impidiendo el tránsito, por eso, junto con mi equipo, hemos estado trabajando para darle fin.Para lograrlo, queremos contar con sumercé, con sus capacidades y experiencia. Hemos abierto una licitación pública y los interesados en participar, pueden consultar toda la información en el siguiente enlace  https://community.se… Ver más",John Jairo Valdes Bravo  · Seguir: Genial,positivo
https://www.facebook.com/profeMikhailKrasnov," ¡Al Concejo de Tunja! Presentamos nuestra agenda y logros en el II Encuentro de Líderes Iberoamericanos por la Educación. Del 16 al 22 de junio, participe activamente en este  evento, compartiendo y aprendiendo sobre las mejores prácticas educativas. Aquí algunos puntos destacados:1. Busca de Mejoras Educativas para Tunja:o Programas educativos innovadoreso Alianzas con instituciones iberoamericanas2… Ver más",Fan destacado: Eva Yolima Ceron,positivo
https://www.facebook.com/profeMikhailKrasnov,¡Vamos mi Colombia!  Acá millones hoy estamos de corazón y alma con nuestra tricolor.,Julio Cesar Borja  · Seguir,positivo
https://www.facebook.com/profeMikhailKrasnov,"SALUD PARA TODOS¿Sumercé sabe lo que hemos estado haciendo por la salud desde la alcaldía?Venga le cuento cómo hemos trabajado para mejor la salud de nuestros ciudadanos, implementando proyectos y políticas que han beneficiado a nuestra ciudad.… Ver más",Deisy Gutierrez  · Seguir: Ese es mi Alcalde!!,positivo
https://www.facebook.com/profeMikhailKrasnov,"SUMERCÉ Venga le cuento cómo hemos trabajado para proteger y preservar nuestro entorno natural, implementando proyectos y políticas que han beneficiado a nuestra ciudad.Porque sí, el medio ambiente es un área que siempre será crucial para nuestras vidas, ya que la limpieza del aire, la pureza del agua, la conservación de nuestros bosques y la biodiversidad son patrimonios invaluables. Siempre en busca  de contribuir al cuidado de nuestros animales y en la naturaleza, hoy… Ver más",Fan destacado: Elisabeth Gonzalez: Bien señor alcalde que cambie a todos esos corruptos por gente que en verdad trabaje honestamente,positivo
https://www.facebook.com/profeMikhailKrasnov,"En Corabastos estuvimos dialogando con mayoristas y exportadores de la región, quienes ven a Tunja como un punto neurálgico para conectar la producción agrícola con la capital del país, junto a ellos, ahondaremos en estrategias para optimizar el comercio al por menor y de gran escala de nuestra ciudad.","Rosa Inés Bohórquez Vargas: MEJOR PORQUE NO CORREMOS POR LAS ESTERILIZACIONES MASIVAS, CONSTANTES Y GRATUITAS PARA LOS ESTRATOS 1,2 Y 3...Y MEJORAMOS LA MALLA VIAL DE TUNJA QUE ESTA UNA TROCHA?CONECTEMOS CON TUNJA!!!!",positivo
