URL,Post,Comment,Sentiment
https://www.facebook.com/profeMikhailKrasnov,atencion tunjanos necesitamos de la colaboracion de todos para mantener nuestras carcavas limpias y seguras es por eso que invito a todos a unirse a las jornadas de limpieza comunitaria que se llevaran a cabo los proximos 24 y 31 de agosto demosleunamanoatunja,luz miriam rodriguez munevar,positivo
https://www.facebook.com/profeMikhailKrasnov,este domingo 18 de agosto sera una gran oportunidad para asegurar tu futuro estas preparado has estudiado y confiamos en ti es el momento de demostrar todo lo que has aprendido cree en ti mismo da lo mejor y recuerda que eres el futuro de nuestra ciudad tunja esta contigopruebasaber11 educacion tunja futuro jovenes colegio icfes,lan lsgy que paso del concuque paso del concurso con el merito que siguieron fue todos los empleados de funeme que desilusion,positivo
https://www.facebook.com/profeMikhailKrasnov,camilo presidente de la junta de accion comunal de la florida liderara la pavimentacion de una de las vias mas neuralgicas del sur de la ciudad porque conecta a barrios como ciudad jardin y san francisco con el sector de los hongosel proximo mes estoy convencido entregaremos una calle digna para el transito de colectivas taxis y particulares que hoy pedian a gritos el arreglo de esta calletramo a tramo entre todos arreglamos,luis alberto angaritaasi como todos los politicos tienen asesores coloquen uno en esa junta para que la calle no solo quede buena sino bien hecha fuerza alcalde por ahi es el camino mas empleo y menos corrupcion hable con el gobernador para unir con una buena carretera ver mas,positivo
https://www.facebook.com/profeMikhailKrasnov, hoy tunja se viste de ciclismo y pasion este es el espiritu tunjano esforzarnos superar retos y llegar siempre mas alto seguimos fortaleciendo el amor por el ciclismo en nuestra ciudadvencerlacima conectamosconeldeporte tunjaenbici,el delfin   seguirun gran evento para que los ciudadanos de tunja disfruten la ciudad sector occidente abandonado por muchas administraciones ruso alcalde con su talante nuestra amada ciudad saldra adelante bienvenidos estos eventos caracol radio periodico el diario  ver mas,positivo
https://www.facebook.com/profeMikhailKrasnov,mi proposito dejar una huella colectiva de progreso y desarrollo en este mi hogar tunjalos invito a que firmemos este convenio solidario en el barrio florida este sabado a las 1030 amtramo a tramo entre todos arreglamos,golden optic fiberme agrada ver que el profe apenas el concejo aprobo los recursos de la ciudad empezo a trabajar fuertementeconfiemos que los corruptos de la politica tradicional no danen la gestion del alcalde,negativo
https://www.facebook.com/profeMikhailKrasnov,vine a resolver a solucionar a dar garantia de cumplimientoel barrio bello horizonte presentaba retrasos de ejecucion y yo no puedo con ello porque se la molestia de vivir con obras eternaspor eso voy a intensificar mi rol de mediador en cada obra a veces con la suma de voluntades e ingenio podemos solventar desafios que se presentan ver mas,william francisco ballesteros solorzanopor esa misma hacia el sur con la que se estrella que llega al hogar infantil del carmen la salida ala bomba del carare falta ese pedazo seraqua esta realizando arreglos seria bueno,negativo
https://www.facebook.com/profeMikhailKrasnov,hay dias en que cada sacrifico y esfuerzo valen la pena y hoy es uno de ellos en donde con la comunidad tramo a tramo vamos a arreglar nuestra ciudadmi agradecimiento infinito a dona flor presidenta de la junta de accion comunal de los muiscas que con trabajo y esfuerzo ha gestionado este primer convenio solidario para su comunidadjuntos construiremos una tunja prospera y desarrollada,rosa maria prieto   seguirmuy bien senor alcalde que este sea el primero de muchos mas convenios con la comunidad,positivo
https://www.facebook.com/profeMikhailKrasnov,aportamos y arreglamos entre todos los invito a que nos acompanen a la firma del primer convenio solidario por las vias de nuestra ciudad en el barrio los muiscas comenzaremos tramo a tramo el mejoramiento vial este viernes 9 de agosto a partir de las 500 pm construyamos entre todos y con las juntas haremos rendir el dinero  conectamosconlasvias,carlos galindo malaverexcelente profe aca en el barrio se lo agradecemos,positivo
https://www.facebook.com/profeMikhailKrasnov,tramo a tramo entre todos arreglamos primer convenio solidario en tunja por mejores vias para los ciudadanos a los residentes del barrio los muiscas los esperamos este viernes 9 de agosto entre todos aportamos por el progreso de nuestra ciudad conectamosconlasvias,lazaro gonzalezsenor alcalde y entonces la plata de los impuestos que pago impuestos y fuera de ello me toca trabajar tapando huecos,negativo
https://www.facebook.com/profeMikhailKrasnov,no hay mejor regalo que estar orgullosos de nuestras raices gente y tradiciones a tunja y a sus habitantes hoy les obsequiamos el video de nuestro himno en cada fragmento encontramos la esencia de lo que significa ser cuna y taller de libertad felices  anos,ruben rosero araujoesta genial expresa la union de una ciudad capital que lo tiene todo destaca lo idalga y noble de tunjq una ciudad estudiantil religiosa y arquitectonico  su contenido es de jubilo entusiasmo y alabanza ,positivo
